timestep,dx,dy,dz,droll,dpitch,dyaw,gripper
0,0.003935877233743668,-0.0020568640902638435,-0.004551650490611792,0.0014648688957095146,0.005837579257786274,-0.008207649923861027,0.0
1,0.003935877233743668,-0.0016950307181105018,-0.004111647140234709,0.0013445359654724598,0.004827834200114012,-0.009312123991549015,0.0
2,0.003935877233743668,-0.0024186973460018635,-0.004991654306650162,0.0010557370260357857,0.004928808659315109,-0.008943966589868069,0.0
3,0.003244350664317608,-0.002961447462439537,-0.005651660263538361,0.0014648688957095146,0.004928808659315109,-0.009312123991549015,0.0
4,0.003244350664317608,-0.0025996139738708735,-0.0065316674299538136,0.0015852018259465694,0.0044239358976483345,-0.008575808256864548,0.0
5,0.003244350664317608,-0.0025996139738708735,-0.0074850087985396385,0.001657401560805738,0.0042219869792461395,-0.008207649923861027,0.0
6,0.002552824094891548,-0.0024186973460018635,-0.010051697492599487,0.001970267156139016,0.0023034715559333563,-0.007103176321834326,0.0
7,-0.000904809043277055,-0.003323280718177557,-0.018411768600344658,0.0011760699562728405,-0.005320102907717228,-0.006366860121488571,0.0
8,0.003935877233743668,-0.00151411397382617,-0.0034516414161771536,0.0022831326350569725,0.005332706496119499,-0.0074713341891765594,0.0
9,0.003935877233743668,-0.00151411397382617,-0.003964979201555252,0.0016092683654278517,0.004928808659315109,-0.008575808256864548,0.0
10,0.003935877233743668,-0.0018759473459795117,-0.0041849808767437935,0.001079803565517068,0.004726859740912914,-0.0074713341891765594,0.0
11,0.003935877233743668,-0.0022377807181328535,-0.00477165263146162,0.0013445359654724598,0.004524910356849432,-0.008575808256864548,0.0
12,0.003244350664317608,-0.0022377807181328535,-0.005724994000047445,0.0007910045678727329,0.0042219869792461395,-0.0074713341891765594,0.0
13,0.003244350664317608,-0.0022377807181328535,-0.006458333693444729,0.000815071165561676,0.0035151655320078135,-0.006735018454492092,0.0
14,0.003244350664317608,-0.00115228071808815,-0.007265007123351097,0.00035780612961389124,0.002202497096732259,-0.00526238651946187,0.0
15,0.002552824094891548,-6.678070349153131e-05,-0.010198364965617657,-0.0010861888295039535,-0.0023413554299622774,-0.004157912451773882,0.0
16,0.001169770723208785,0.004637052770704031,-0.012985055334866047,-0.0008455229690298438,0.001798599143512547,-0.011521072126924992,0.0
17,-0.002979388926178217,0.004817969165742397,-0.025011824443936348,-0.002722716424614191,-0.016395743936300278,-0.016675284132361412,0.0
18,-0.005745495203882456,0.005722552537918091,-0.041291963309049606,-0.005321907345205545,-0.035662941634655,-0.015202651731669903,0.0
19,-0.005745495203882456,0.0026469691656529903,-0.060358792543411255,-0.006284570321440697,-0.053636401891708374,-0.02551107481122017,0.0
20,-0.0064370217733085155,0.0017423859098926187,-0.0820656418800354,-0.005514439661055803,-0.07241765409708023,-0.036187656223773956,0.0
21,-0.002287862356752157,0.003370635909959674,-0.10259915143251419,-0.007536032702773809,-0.09059306979179382,-0.04796871170401573,0.0
22,-0.000904809043277055,0.010969135910272598,-0.12137264758348465,-0.010135223157703876,-0.1075567826628685,-0.06490398198366165,0.0
23,-0.00021328245929908007,0.018748551607131958,-0.1331060826778412,-0.011001620441675186,-0.11603864282369614,-0.07815766334533691,0.0
24,0.002552824094891548,0.0004759692819789052,-0.006971671245992184,0.00026153979706577957,0.0046258848160505295,-0.008575808256864548,0.0
25,0.001169770723208785,0.001199635909870267,-0.011078372597694397,-0.0005567239713855088,-0.0006247888668440282,-0.01115291379392147,0.0
26,-0.0015963356709107757,0.0017423859098926187,-0.021785130724310875,-0.003926045261323452,-0.012590266764163971,-0.0074713341891765594,0.0
27,-0.002287862356752157,-0.0006095307180657983,-0.02955853007733822,-0.005129374563694,-0.02084493264555931,-0.009680282324552536,0.0
28,-0.0036709154956042767,-0.0024186973460018635,-0.04451865702867508,-0.005418173503130674,-0.03323955088853836,-0.012257387861609459,0.0
29,-0.005745495203882456,-0.0025996139738708735,-0.05889211222529411,-0.008209897205233574,-0.046164289116859436,-0.01704344153404236,0.0
30,-0.009894655086100101,0.0006568859680555761,-0.0744389146566391,-0.009557625278830528,-0.06433969736099243,-0.026983708143234253,0.0
31,-0.01196923479437828,0.003913385793566704,-0.0920390635728836,-0.009653892368078232,-0.08251510560512543,-0.03839660435914993,0.0
32,0.003244350664317608,-0.00133319734595716,-0.004404982551932335,0.0014889354351907969,0.006443426012992859,-0.008207649923861027,0.0
33,0.002552824094891548,-0.00115228071808815,-0.0038183110300451517,0.0005503387656062841,0.005332706496119499,-0.009312123991549015,0.0
34,0.003244350664317608,-0.00133319734595716,-0.0030116376001387835,0.0006466050981543958,0.004322961438447237,-0.008943966589868069,0.0
35,0.002552824094891548,-0.0020568640902638435,-0.004844986367970705,-0.0007973898318596184,0.0024044460151344538,-0.006366860121488571,0.0
36,0.0018612974090501666,-0.003142364090308547,-0.01049170084297657,-0.0032040479127317667,-0.004310357850044966,-0.004526070319116116,0.0
37,0.00047824415378272533,-0.0042278640903532505,-0.022811805829405785,-0.00705470098182559,-0.01668604463338852,-0.0037897545844316483,0.0
38,-0.00021328245929908007,-0.0042278640903532505,-0.03161188215017319,-0.009942690841853619,-0.027635468170046806,-0.006366860121488571,0.0
39,-0.004362442065030336,-0.003685113973915577,-0.04422532021999359,-0.013023213483393192,-0.045558441430330276,-0.0059987022541463375,0.0
40,-0.01196923479437828,0.018205802887678146,-0.07033220678567886,-0.0094613591209054,-0.02970544435083866,-0.015570810064673424,0.0
41,-0.018884500488638878,0.013140135444700718,-0.08147896826267242,-0.008402429521083832,-0.04252920672297478,-0.028456339612603188,0.0
42,-0.02095908112823963,0.011692802421748638,-0.09555909037590027,-0.008209897205233574,-0.06090656295418739,-0.035451341420412064,0.0
43,-0.020267553627490997,0.012235553003847599,-0.11022588610649109,-0.006958434823900461,-0.07686053216457367,-0.05680450424551964,0.0
44,-0.019576027989387512,0.015130219049751759,-0.12254598736763,-0.006765902042388916,-0.08251510560512543,-0.0700581893324852,0.0
45,-0.01611839421093464,0.017482135444879532,-0.13134606182575226,-0.010038956999778748,-0.08816967904567719,-0.07815766334533691,0.0
46,-0.01473534107208252,0.02272871881723404,-0.1377994567155838,-0.012445615604519844,-0.0914008617401123,-0.0892024040222168,0.0
47,-0.01266076136380434,0.029241718351840973,-0.14366616308689117,-0.013312011957168579,-0.09786323457956314,-0.10098346322774887,0.0
48,-0.0015963356709107757,0.017301218584179878,-0.08441232889890671,-0.004888708703219891,-0.056867584586143494,-0.010416598059237003,0.0
49,-0.007820075377821922,0.012054636143147945,-0.0820656418800354,-0.00705470098182559,-0.05585784092545509,-0.0177797582000494,0.0
