timestep,dx,dy,dz,droll,dpitch,dyaw,gripper
0,0.0018612974090501666,-0.00495153060182929,-0.006311665754765272,0.000959470693487674,0.0046258848160505295,-0.007103176321834326,0.0
1,0.0018612974090501666,-0.005584739148616791,-0.005578326061367989,0.0017055347561836243,0.0040200380608439445,-0.0074713341891765594,0.0
2,0.002552824094891548,-0.006489322520792484,-0.005944995675235987,0.0028847972862422466,0.0024044460151344538,-0.006366860121488571,0.0
3,0.001169770723208785,-0.007665280718356371,-0.007265007123351097,0.0031735962256789207,0.0008898286032490432,-0.005630544386804104,0.0
4,-0.00021328245929908007,-0.009745822288095951,-0.008145014755427837,0.004148292820900679,-0.0011296613374724984,-0.00268528051674366,0.0
5,-0.002287862356752157,-0.01634928025305271,-0.011958380229771137,0.003197662765160203,-0.008854210376739502,0.003941562958061695,0.0
6,-0.007128548808395863,-0.02720993384718895,-0.016945090144872665,0.0042686257511377335,-0.020415790379047394,0.01609077677130699,0.0
7,-0.01542686764150858,-0.04267265647649765,-0.024865156039595604,0.004761990625411272,-0.03536001592874527,0.03597130626440048,0.0
8,0.002552824094891548,-0.0063988640904426575,-0.006458333693444729,0.0016092683654278517,0.004928808659315109,-0.005630544386804104,0.0
9,0.003244350664317608,-0.007122530601918697,-0.004038312938064337,0.002932930365204811,0.004827834200114012,-0.004157912451773882,0.0
10,0.002552824094891548,-0.008027113974094391,-0.004624984692782164,0.004352858755737543,0.0037171144504100084,-0.00268528051674366,0.0
11,0.001169770723208785,-0.011102696880698204,-0.006898337509483099,0.005074856337159872,0.0009908031206578016,0.000259983295109123,0.0
12,-0.00021328245929908007,-0.018836883828043938,-0.009025022387504578,0.00687552522867918,-0.004865717608481646,0.009279853664338589,0.0
13,-0.0036709154956042767,-0.03548121824860573,-0.018411768600344658,0.008745010010898113,-0.024202333763241768,0.028976306319236755,0.0
14,-0.008511601947247982,-0.057236447930336,-0.027798514813184738,0.009815973229706287,-0.046972084790468216,0.052618950605392456,0.0
15,-0.007820075377821922,-0.08437394350767136,-0.043345313519239426,0.009442940354347229,-0.06797477602958679,0.07692888379096985,0.0
16,-0.01473534107208252,-0.025759773328900337,-0.016211749985814095,-0.012926947325468063,-0.0285947248339653,0.002468931255862117,0.0
17,-0.021650606766343117,-0.04701465368270874,-0.03865193948149681,-0.02332371100783348,-0.06110851466655731,0.005046037025749683,0.0
18,-0.02095908112823963,-0.06447311490774155,-0.05038537457585335,-0.031602613627910614,-0.07403325289487839,0.011488801799714565,0.0
19,-0.016809921711683273,-0.08618311583995819,-0.05977211892604828,-0.04315457493066788,-0.0873618796467781,0.018667882308363914,0.0
20,-0.01542686764150858,-0.1010182797908783,-0.07033220678567886,-0.054321467876434326,-0.10472949594259262,0.02842406928539276,0.0
21,-0.0036709154956042767,-0.11476794630289078,-0.07854561507701874,-0.06818381696939468,-0.1156347393989563,0.03882453218102455,0.0
22,-0.002979388926178217,-0.13213594257831573,-0.08147896826267242,-0.07973577827215195,-0.11805813014507294,0.04480709880590439,0.0
23,-0.0036709154956042767,-0.1502276062965393,-0.08499900251626968,-0.0858968198299408,-0.12088541686534882,0.05141093209385872,0.0
24,0.003244350664317608,-0.08980144560337067,-0.08382565528154373,-0.06664355844259262,-0.08130341023206711,0.026399200782179832,0.0
25,0.010159616358578205,-0.11549161374568939,-0.10963921248912811,-0.06702861934900284,-0.10917237401008606,0.04002104327082634,0.0
26,0.016383355483412743,-0.12345194816589355,-0.10963921248912811,-0.06317797303199768,-0.11119186133146286,0.03587926924228668,0.0
27,0.018457936123013496,-0.1299649477005005,-0.10787919908761978,-0.05817212164402008,-0.10513339191675186,0.03155340999364853,0.0
28,0.02053251676261425,-0.1400962769985199,-0.10670585185289383,-0.05239614099264145,-0.09826713055372238,0.036615584045648575,0.0
29,0.025373201817274094,-0.14660927653312683,-0.10787919908761978,-0.04546496644616127,-0.09382425248622894,0.0437026247382164,0.0
